benchmark_name,benchmark_category,dataset,score,ci,time_taken
Hubert,1,fastpitch_wg,93.05527680457881,12.447168226064754,60.43728303909302
Hubert,1,fastpitch_wn,93.41775004259064,12.515717966033865,61.77754306793213
Hubert,1,natural16,99.99999999964864,13.519902897235324,64.67259383201599
Hubert,1,tacotron_wg,84.42358592572627,11.402128364191151,62.82113218307495
Hubert,1,tacotron_wn,86.03779419163315,11.598823170873748,57.29265117645264
HubertToken,1,fastpitch_wg,66.80481622071409,17.883787653362244,35.31121587753296
HubertToken,1,fastpitch_wn,66.59046137769256,17.77626164344204,34.56403064727783
HubertToken,1,natural16,100.0,24.177883992973296,38.00649547576904
HubertToken,1,tacotron_wg,55.68329693293624,14.478725303549043,31.693856954574585
HubertToken,1,tacotron_wn,56.600144367428335,14.711348710775955,31.07417678833008
MFCC,1,fastpitch_wg,64.06669920627489,15.37601268596412,6.639355182647705
MFCC,1,fastpitch_wn,64.76217041363284,15.514375503095168,7.044710397720337
MFCC,1,natural16,68.41343282504921,16.595606965232957,6.808445453643799
MFCC,1,tacotron_wg,56.744859882137504,14.572811186237471,6.852498292922974
MFCC,1,tacotron_wn,58.083481195637184,14.721394803560495,6.968064308166504
MPM,2,fastpitch_wg,65.43373755024001,11.97969838514459,34.4824697971344
MPM,2,fastpitch_wn,65.84221172863016,12.253487887449026,33.23407220840454
MPM,2,natural16,78.2177203370043,14.05515323142662,34.467230796813965
MPM,2,tacotron_wg,75.31461881430799,14.006628840101207,30.23483347892761
MPM,2,tacotron_wn,75.28584035827619,14.187800555546435,29.73706960678101
Pitch,2,fastpitch_wg,62.766676276009534,11.846260235757768,10.130358695983888
Pitch,2,fastpitch_wn,62.97993855343969,11.960407231462522,10.20300793647766
Pitch,2,natural16,99.99999584937379,17.49209978008444,10.749420881271362
Pitch,2,tacotron_wg,82.50087159509,16.251375558863547,9.094114303588867
Pitch,2,tacotron_wn,79.83766858307723,16.39995396590854,8.904123306274414
WadaSNR,3,fastpitch_wg,73.24734169937565,14.198470776981823,2.928052425384521
WadaSNR,3,fastpitch_wn,73.13296574484319,14.34083003764266,2.884493112564087
WadaSNR,3,natural16,99.99996242612752,18.686704093139355,3.0711584091186523
