benchmark,corr,p
Hubert,0.1298793183785569,0.7206332450099915
HubertToken,0.19475600037326177,0.5897660473607521
MFCC,-0.30235735505378136,0.39581459267834096
MPM,-0.41081865452179206,0.23826240817889166
Pitch,0.08198688403205807,0.8218543757252986
WadaSNR,-0.16666476760641086,0.6453801267701543
WeSpeaker,0.15357930010303333,0.6718578002786395
Allosaurus,-0.3016460614185187,0.3969824631811203
VoiceFixer,-0.4397503904443726,0.20347893176975984
Wav2Vec2 WER,-0.07036637162149814,0.8468334558996464
Whisper WER,0.043129223892738294,0.9058301212462778
wvmos,-0.08264187293683341,0.8204505149977435
utmos,-0.018556505767707218,0.959421618476047
