benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,parler.tar.gz,94.54043904768986,1.0,134.86077547073364,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,xtts_v2.tar.gz,94.08640625393409,1.0,119.24876189231873,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,pheme.tar.gz,93.80203670681242,1.0,124.30975937843324,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,styletts_2.tar.gz,93.4613796856062,1.0,137.10107254981995,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,metavoice.tar.gz,91.1302297044776,1.0,142.34278345108032,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice.tar.gz,91.08515661270692,1.0,113.2825219631195,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice_v2.tar.gz,89.99729699001288,1.0,109.20647478103638,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,gpt_sovits.tar.gz,89.77343177947651,1.0,467.7949769496918,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,whisper_speech.tar.gz,89.59650854238289,1.0,152.41745972633362,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,melotts.tar.gz,88.6954792025526,1.0,158.75398993492126,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,vokan.tar.gz,88.07493484837917,1.0,125.28003406524658,esc50.tar.gz,speech_libritts_r_test.tar.gz
HubertToken,1,openvoice.tar.gz,83.26482911974361,1.0,39.85039258003235,noise_normal_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,styletts_2.tar.gz,79.4059641761445,1.0,50.57179236412048,noise_normal_distribution.tar.gz,speech_libritts_r_test.tar.gz
HubertToken,1,pheme.tar.gz,78.39702319849292,1.0,38.69689393043518,noise_normal_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,gpt_sovits.tar.gz,75.05119141240608,1.0,329.7589707374573,esc50.tar.gz,speech_blizzard2008.tar.gz
HubertToken,1,melotts.tar.gz,74.12927742064666,1.0,47.03760647773743,noise_normal_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,openvoice_v2.tar.gz,71.85998263225541,1.0,35.91008448600769,noise_normal_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,metavoice.tar.gz,68.68070217656528,1.0,45.72954297065735,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,vokan.tar.gz,66.27194646527683,1.0,48.03801965713501,noise_uniform_distribution.tar.gz,speech_libritts_test.tar.gz
HubertToken,1,xtts_v2.tar.gz,65.31532550113678,1.0,43.54483866691589,noise_normal_distribution.tar.gz,speech_libritts_test.tar.gz
HubertToken,1,whisper_speech.tar.gz,55.348882338593214,1.0,67.96963834762573,esc50.tar.gz,speech_vctk.tar.gz
HubertToken,1,parler.tar.gz,43.19673473077516,1.0,43.38552784919739,noise_uniform_distribution.tar.gz,speech_libritts_test.tar.gz
MFCC,1,styletts_2.tar.gz,96.75473727346088,1.0,19.75976204872132,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,openvoice.tar.gz,94.7426926766734,1.0,16.0106360912323,esc50.tar.gz,speech_libritts_test.tar.gz
MFCC,1,gpt_sovits.tar.gz,93.38121336634536,1.0,123.18405342102052,esc50.tar.gz,speech_libritts_test.tar.gz
